states,x,y
andhra pradesh,-93.0,-135.0
arunachal pradesh,190.0,150.0
assam,165.0,102.0
bihar,45.0,85.0
chhattisgarh,-16.0,12.0
goa,-175.0,-125.0
gujarat,-228.0,32
haryana,-126.0,156.0
himachal pradesh,-113.0,215.0
jharkhand,34.0,38.0
karnataka,-154.0,-154.0
kerala,-140.0,-232.0
madhya pradesh,-131.0,29.0
maharashtra,-171.0,-54.0
manipur,212.0,75.0
meghalaya,140.0,85.0
mizoram,193.0,43.0
nagaland,220.0,107.0
odisha,26.0,-29.0
punjab,-143.0,190.0
rajasthan,-188.0,100.0
sikkim,107.0,120.0
tamil nadu,-100.0,-220.0
telangana,-90.0,-77.0
tripura,153.0,49.0
uttarakhand,-76.0,177.0
uttar pradesh,-55.0,106.0
west bengal,86.0,25.0
